,price_numeric,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_rate,occupancy_proxy,weekend_availability_rate,weekday_availability_rate,accommodates,bathrooms,bedrooms,beds,amenities_count,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,detailed_review_count,unique_reviewer_count,detailed_reviews_last_365d,avg_reviews_per_year,estimated_revenue_proxy,neighbourhood_median_price,neighbourhood_avg_occupancy_proxy
price_numeric,1.0,-0.04480978935011637,-0.14154629453776374,-0.16310329046548713,-0.09748114054525958,0.056585336741433734,0.05608038506285393,-0.05608038506285373,0.06168718082164915,0.05378752530049055,0.38541177196269455,0.3580537831073498,0.38114581464213076,0.3454707420190499,0.15506157456359093,0.06104304071039321,0.026830618294500154,0.11594774261879928,0.012360736397624925,-0.14154629453776374,-0.14180928610045704,-0.14339158456333873,-0.16263073509807646,0.4040770717434386,0.12257608145645393,-0.04625788443883717
minimum_nights,-0.04480978935011637,1.0,-0.03752862770912962,-0.04224215211324722,0.05253923658137143,0.013624846017283143,0.013625810589973928,-0.013625810589974047,0.014826307937330538,0.013137860495942044,-0.01523861801253323,0.034793701590953206,-0.004498527680052428,0.005827324626213337,0.0035225130119861665,-0.00738941137457148,-0.0010611313929184969,-0.007146901343284231,-0.00828482306050879,-0.03752862770912962,-0.03757735956760843,-0.04486204860178598,-0.042488344773043356,-0.05351174088126735,-0.0002316069387815449,0.024201007339522986
number_of_reviews,-0.14154629453776374,-0.03752862770912962,1.0,0.7611180738743171,0.06836155712463499,0.16582966181230308,0.17410262189716513,-0.1741026218971656,0.16519409541533142,0.17742723517044243,-0.06807568413452614,-0.04121890265064073,-0.07393807442631174,-0.041370244995764915,0.029566192719029303,-0.05287312558907612,0.010831353567801362,-0.027763445141997432,-0.00946273881489337,1.0,0.999977158846348,0.7390957175166911,0.7392099954889121,-0.17973840747946898,-0.05534269744787396,-0.13757299018101787
reviews_per_month,-0.16310329046548713,-0.04224215211324722,0.7611180738743171,1.0,0.14897180716371544,0.26272318307768017,0.2691176618575611,-0.2691176618575611,0.2615316951246873,0.27180677677940385,-0.05902923072176382,-0.08282342330361438,-0.09944382453243726,-0.051777054850464084,-0.040728810237860805,-0.07859828858500274,-0.006078073291430882,-0.040257507826044904,-0.038550349359177206,0.7611180738743172,0.760665620999155,0.9068585772351618,0.9907499242659396,-0.22405117302436295,-0.07421595706484908,-0.1375093210232367
calculated_host_listings_count,-0.09748114054525958,0.05253923658137143,0.06836155712463499,0.14897180716371544,1.0,0.23599554885844365,0.23582458322844652,-0.23582458322844632,0.2345112025927103,0.23608695354636486,0.005173851917254074,-0.057331199488265636,-0.08224951411970195,0.018986253689581085,-0.10390093836925214,-0.22526996854140305,-0.12235114380595062,-0.12116741762571304,-0.18876991818817104,0.06836155712463497,0.06835947218140778,0.13083901852661323,0.14637618480423384,-0.1963659899635655,-0.050210954105087205,-0.14547750786709338
availability_365,0.056585336741433734,0.013624846017283143,0.16582966181230308,0.26272318307768017,0.23599554885844365,1.0,0.9994763659422878,-0.9994763659422864,0.9975400691889369,0.9991795126841135,0.0030908392077692165,-0.03729562371810511,-0.059384391331766415,-0.03579002825555913,-0.07144266814759907,-0.15137022839155123,-0.05649053808169914,-0.028755481408941793,-0.13657363189128874,0.165829661812303,0.1660455676672917,0.2278951176416706,0.26198142528164176,-0.6569132767670173,-0.016955458141691932,-0.17144989373303035
availability_rate,0.05608038506285393,0.013625810589973928,0.17410262189716513,0.2691176618575611,0.23582458322844652,0.9994763659422878,1.0,-1.0,0.9980689486980772,0.9997005644827418,0.0027624758113410854,-0.036044450558670595,-0.05962846356748736,-0.03627329202135402,-0.07153794998829095,-0.1512461365395176,-0.05634409743849324,-0.02880245420155866,-0.1364743683505869,0.17410262189716513,0.17428914582448385,0.2336174651719653,0.26820502280927067,-0.6575895952343825,-0.01651179361551024,-0.17132481661274218
occupancy_proxy,-0.05608038506285373,-0.013625810589974047,-0.1741026218971656,-0.2691176618575611,-0.23582458322844632,-0.9994763659422864,-1.0,1.0,-0.9980689486980767,-0.9997005644827416,-0.002762475811341079,0.03604445055867017,0.05962846356748741,0.03627329202135376,0.07153794998829079,0.15124613653951766,0.05634409743849321,0.02880245420155874,0.13647436835058682,-0.17410262189716566,-0.17428914582448435,-0.23361746517196555,-0.2682050228092708,0.6575895952343829,0.01651179361551032,0.17132481661274218
weekend_availability_rate,0.06168718082164915,0.014826307937330538,0.16519409541533142,0.2615316951246873,0.2345112025927103,0.9975400691889369,0.9980689486980772,-0.9980689486980767,1.0,0.9962501375923983,0.0014998622936959205,-0.03327650197779153,-0.05900244172295664,-0.0387980431741559,-0.07025787455685303,-0.14812648861137195,-0.055210170593289976,-0.027861436753937867,-0.13475144086806728,0.1651940954153314,0.16534481373941737,0.2254242961174466,0.2608229751864055,-0.6507292354700792,-0.01440352650263335,-0.1669350912561585
weekday_availability_rate,0.05378752530049055,0.013137860495942044,0.17742723517044243,0.27180677677940385,0.23608695354636486,0.9991795126841135,0.9997005644827418,-0.9997005644827416,0.9962501375923983,1.0,0.0032560701154554306,-0.03707676573999828,-0.059815605092156374,-0.0352207807587285,-0.07196417851008236,-0.15230279338573752,-0.05672673684832491,-0.029138881836818474,-0.13699954520529406,0.17742723517044243,0.17762765287973634,0.23659977624919837,0.2708152655106405,-0.6592504196027289,-0.017322752688520866,-0.17287420882332935
