dataset_name,column_name,total_rows,null_count,null_percentage
calendar,listing_id,3819725,0,0.0
calendar,date,3819725,0,0.0
calendar,available,3819725,0,0.0
calendar,minimum_nights,3819725,0,0.0
calendar,maximum_nights,3819725,0,0.0
detailed_listings,neighborhood_overview,10369,10369,100.0
detailed_listings,host_since,10369,10369,100.0
detailed_listings,host_response_time,10369,10369,100.0
detailed_listings,host_response_rate,10369,10369,100.0
detailed_listings,host_acceptance_rate,10369,10369,100.0
detailed_listings,host_thumbnail_url,10369,10369,100.0
detailed_listings,host_neighbourhood,10369,10369,100.0
detailed_listings,host_total_listings_count,10369,10369,100.0
detailed_listings,host_verifications,10369,10369,100.0
detailed_listings,neighbourhood,10369,10369,100.0
detailed_listings,neighbourhood_group_cleansed,10369,10369,100.0
detailed_listings,calendar_updated,10369,10369,100.0
detailed_listings,instant_bookable,10369,10369,100.0
detailed_listings,host_about,10369,4959,47.83
detailed_listings,bathrooms,10369,4956,47.8
detailed_listings,beds,10369,4652,44.86
detailed_listings,price,10369,3992,38.5
detailed_listings,price_quote_total_price,10369,3992,38.5
detailed_listings,price_quote_price_per_night,10369,3992,38.5
detailed_listings,estimated_revenue_l365d,10369,3992,38.5
detailed_listings,price_quote_checkin_date,10369,3861,37.24
detailed_listings,price_quote_checkout_date,10369,3861,37.24
detailed_listings,price_quote_raw,10369,3861,37.24
detailed_listings,host_location,10369,1372,13.23
detailed_listings,bedrooms,10369,1150,11.09
detailed_listings,review_scores_cleanliness,10369,1024,9.88
detailed_listings,first_review,10369,1023,9.87
detailed_listings,last_review,10369,1023,9.87
detailed_listings,review_scores_rating,10369,1023,9.87
detailed_listings,review_scores_accuracy,10369,1023,9.87
detailed_listings,review_scores_checkin,10369,1023,9.87
detailed_listings,review_scores_communication,10369,1023,9.87
detailed_listings,review_scores_location,10369,1023,9.87
detailed_listings,review_scores_value,10369,1023,9.87
detailed_listings,reviews_per_month,10369,1023,9.87
detailed_listings,description,10369,450,4.34
detailed_listings,license,10369,223,2.15
detailed_listings,host_profile_id,10369,142,1.37
detailed_listings,host_name,10369,142,1.37
detailed_listings,hosts_time_as_user_years,10369,142,1.37
detailed_listings,hosts_time_as_user_months,10369,142,1.37
detailed_listings,hosts_time_as_host_years,10369,142,1.37
detailed_listings,hosts_time_as_host_months,10369,142,1.37
detailed_listings,host_is_superhost,10369,142,1.37
detailed_listings,host_picture_url,10369,142,1.37
detailed_listings,host_listings_count,10369,142,1.37
detailed_listings,host_has_profile_pic,10369,142,1.37
detailed_listings,host_identity_verified,10369,142,1.37
detailed_listings,host_profile_url,10369,137,1.32
detailed_listings,has_availability,10369,136,1.31
detailed_listings,bathrooms_text,10369,9,0.09
detailed_listings,minimum_nights,10369,3,0.03
detailed_listings,maximum_nights,10369,3,0.03
detailed_listings,minimum_minimum_nights,10369,3,0.03
detailed_listings,maximum_minimum_nights,10369,3,0.03
detailed_listings,minimum_maximum_nights,10369,3,0.03
detailed_listings,maximum_maximum_nights,10369,3,0.03
detailed_listings,id,10369,0,0.0
detailed_listings,listing_url,10369,0,0.0
detailed_listings,scrape_id,10369,0,0.0
detailed_listings,last_scraped,10369,0,0.0
detailed_listings,source,10369,0,0.0
detailed_listings,name,10369,0,0.0
detailed_listings,picture_url,10369,0,0.0
detailed_listings,host_id,10369,0,0.0
detailed_listings,host_url,10369,0,0.0
detailed_listings,neighbourhood_cleansed,10369,0,0.0
detailed_listings,latitude,10369,0,0.0
detailed_listings,longitude,10369,0,0.0
detailed_listings,property_type,10369,0,0.0
detailed_listings,room_type,10369,0,0.0
detailed_listings,accommodates,10369,0,0.0
detailed_listings,amenities,10369,0,0.0
detailed_listings,minimum_nights_avg_ntm,10369,0,0.0
detailed_listings,maximum_nights_avg_ntm,10369,0,0.0
detailed_listings,availability_30,10369,0,0.0
detailed_listings,availability_60,10369,0,0.0
detailed_listings,availability_90,10369,0,0.0
detailed_listings,availability_365,10369,0,0.0
detailed_listings,calendar_last_scraped,10369,0,0.0
detailed_listings,number_of_reviews,10369,0,0.0
detailed_listings,number_of_reviews_ltm,10369,0,0.0
detailed_listings,number_of_reviews_l30d,10369,0,0.0
detailed_listings,availability_eoy,10369,0,0.0
detailed_listings,number_of_reviews_ly,10369,0,0.0
detailed_listings,estimated_occupancy_l365d,10369,0,0.0
detailed_listings,calculated_host_listings_count,10369,0,0.0
detailed_listings,calculated_host_listings_count_entire_homes,10369,0,0.0
detailed_listings,calculated_host_listings_count_private_rooms,10369,0,0.0
detailed_listings,calculated_host_listings_count_shared_rooms,10369,0,0.0
detailed_reviews,comments,545162,37,0.01
detailed_reviews,listing_id,545162,0,0.0
detailed_reviews,id,545162,0,0.0
detailed_reviews,date,545162,0,0.0
detailed_reviews,reviewer_id,545162,0,0.0
detailed_reviews,reviewer_name,545162,1,0.0
neighbourhoods,neighbourhood_group,22,22,100.0
neighbourhoods,neighbourhood,22,0,0.0
summary_listings,neighbourhood_group,10465,10465,100.0
summary_listings,price,10465,3994,38.17
summary_listings,last_review,10465,1033,9.87
summary_listings,reviews_per_month,10465,1033,9.87
summary_listings,license,10465,319,3.05
summary_listings,host_name,10465,238,2.27
summary_listings,host_profile_id,10465,233,2.23
summary_listings,host_id,10465,96,0.92
summary_listings,calculated_host_listings_count,10465,96,0.92
summary_listings,minimum_nights,10465,3,0.03
summary_listings,id,10465,0,0.0
summary_listings,name,10465,0,0.0
summary_listings,neighbourhood,10465,0,0.0
summary_listings,latitude,10465,0,0.0
summary_listings,longitude,10465,0,0.0
summary_listings,room_type,10465,0,0.0
summary_listings,number_of_reviews,10465,0,0.0
summary_listings,availability_365,10465,0,0.0
summary_listings,number_of_reviews_ltm,10465,0,0.0
summary_reviews,listing_id,545162,0,0.0
summary_reviews,date,545162,0,0.0
