dataset_name,column_name,data_type,non_null_count,null_count,null_percentage,unique_count,sample_values
detailed_listings,id,int64,10369,0,0.0,10369,28871 | 29051 | 44129 | 44391 | 48373
detailed_listings,listing_url,str,10369,0,0.0,10369,https://www.airbnb.com/rooms/28871 | https://www.airbnb.com/rooms/29051 | https://www.airbnb.com/rooms/44129 | https://www.airbnb.com/rooms/44391 | https://www.airbnb.com/rooms/48373
detailed_listings,scrape_id,int64,10369,0,0.0,1,20260615212022
detailed_listings,last_scraped,str,10369,0,0.0,3,2026-06-16 | 2026-06-24 | 2026-06-15
detailed_listings,source,str,10369,0,0.0,2,previous scrape | city scrape
detailed_listings,name,str,10369,0,0.0,10076,Comfortable double room | Comfortable single / double room | Luxury design with canal view | Quiet 2-bedroom Amsterdam city centre apartment | Cozy family home in Amsterdam South
detailed_listings,description,str,9919,450,4.34,9640,"Basic bedroom in the center of Amsterdam. | This room can also be rented as a single or a small double<br /><br />Also a cat lives here | Welcome to my little gem<br /><br />Cozy, bright and romantic one bedroom apartment on the first floor of a three story house in the center, right on one of the most beautiful canals in Amsterdam. | Guests greatly appreciate the unique location of the apartment. It is located in a very quiet part of the city centre whilst only 1,5km away from central station. A bus takes you there directly in just five minutes. Restaurants, bars, musea, the Amsterdam Zoo and the popular citypark Marineterrein are just around the corner. The apartment itself is very well isolated so you can sleep in silence. The large private terrace provides you, directly from the kitchen, a nice outdoor space! Have a look! | Charming modern apartment in the quiet and green Southern part of Amsterdam, surrounded by trees and parks. Ideal for family stay as there are also playgrounds for children in the neighbourhood. <br />Minimum stay 7 days.<br />City center is about 15 minutes away by public transport or bicycle where you can find amazing and the best Amsterdam restaurants and famous museums."
detailed_listings,neighborhood_overview,float64,0,10369,100.0,0,
detailed_listings,picture_url,str,10369,0,0.0,10315,https://a0.muscache.com/pictures/160889/362340f7_original.jpg | https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg | https://a0.muscache.com/pictures/hosting/Hosting-44129/original/956f8b2f-8203-4d88-b179-3d9ad860dfd1.jpeg | https://a0.muscache.com/pictures/97741545/39000c13_original.jpg | https://a0.muscache.com/pictures/miso/Hosting-48373/original/ee2d14f7-27cb-46e9-b623-15e1080725e5.jpeg
detailed_listings,host_id,int64,10369,0,0.0,9104,124245 | 187728 | 194779 | 220434 | 225987
detailed_listings,host_url,str,10369,0,0.0,9104,https://www.airbnb.com/users/show/124245 | https://www.airbnb.com/users/show/187728 | https://www.airbnb.com/users/show/194779 | https://www.airbnb.com/users/show/220434 | https://www.airbnb.com/users/show/225987
detailed_listings,host_profile_id,float64,10227,142,1.37,9067,1.462510208428039e+18 | 1.4625121252931446e+18 | 1.4625123369036503e+18 | 1.4625130029351258e+18 | 1.4625131522578511e+18
detailed_listings,host_profile_url,str,10232,137,1.32,9076,https://www.airbnb.com/users/profile/1462510208428038971 | https://www.airbnb.com/users/profile/1462512125293144456 | https://www.airbnb.com/users/profile/1462512336903650281 | https://www.airbnb.com/users/profile/1462513002935125765 | https://www.airbnb.com/users/profile/1462513152257851081
detailed_listings,host_name,str,10227,142,1.37,3793,Edwin | Tanya | Jan | Vesna & Misha | Joanna & MP
detailed_listings,host_since,float64,0,10369,100.0,0,
detailed_listings,hosts_time_as_user_years,float64,10227,142,1.37,18,16.0 | 15.0 | 14.0 | 13.0 | 12.0
detailed_listings,hosts_time_as_user_months,float64,10227,142,1.37,12,1.0 | 10.0 | 9.0 | 8.0 | 6.0
detailed_listings,hosts_time_as_host_years,float64,10227,142,1.37,16,15.0 | 10.0 | 14.0 | 11.0 | 13.0
detailed_listings,hosts_time_as_host_months,float64,10227,142,1.37,12,5.0 | 11.0 | 3.0 | 2.0 | 0.0
detailed_listings,host_location,str,8997,1372,13.23,222,"Amsterdam, The Netherlands | Amsterdam, Netherlands | Haarlem, Netherlands | Aerdenhout, Netherlands | De Pijp, The Netherlands"
detailed_listings,host_about,str,5410,4959,47.83,4567,"Hi | I am little bit of a nomad. Born in Belarus, raised in Canada, converted to Europe in London and finally settled in magical Amsterdam. Recently opened a little bar in the Jordaan and said goodbye to my job in finance to enjoy creating things a little more.

I like to enjoy life and constantly find myself admiring buildings & decor and doing some tasteful travelling. I travel frequently for business and pleasure so either my flat is available or I am looking for somewhere to stay myself | Love to travel while hosting and to host while travelling! | Joanna is from London and MP is from Amsterdam. We have a lot to thank travel and hospitality for. We fell in love at first sight when Joanna went to Amsterdam to review boutique hotels and walked into the one MP was running. The rest, as they say, is history. These days MP is a professional pianist and Joanna is the distributor of Micro scooters for the Netherlands and has a store across the street from the house. In 2006 we bought our house from an old lady who had lived in it for 38 years. We have completely renovated it and now live here very happily with our two daughters. We love to travel, we love music and we love good food. We also really love Amsterdam! We can tip you off about local hangouts that you have to live here to know about and all the highlights that you really ought to see whilst you're here. This is the best area of the city to live in, that's why we picked it. Everything we need is right on our doorstep, we hardly ever have to leave our 'hood. You'll love it here too! | An independent professional living and working in Amsterdam. Like to meet new people and help them to get around. Love culture, art, architecture and design. A very warm welcome to you all!"
detailed_listings,host_response_time,float64,0,10369,100.0,0,
detailed_listings,host_response_rate,float64,0,10369,100.0,0,
detailed_listings,host_acceptance_rate,float64,0,10369,100.0,0,
detailed_listings,host_is_superhost,str,10227,142,1.37,2,t | f
detailed_listings,host_thumbnail_url,float64,0,10369,100.0,0,
detailed_listings,host_picture_url,str,10227,142,1.37,9005,https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/187728/profile_pic/1441737374/original.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/194779/profile_pic/1436464796/original.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/User-220434/original/6559512c-20fa-45ac-b45c-0e0eb9773c5f.jpeg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/User-225987/original/4af6a4dd-5b81-4045-ad69-8601c2c4fa91.jpeg?aki_policy=profile_x_medium
detailed_listings,host_neighbourhood,float64,0,10369,100.0,0,
detailed_listings,host_listings_count,float64,10227,142,1.37,39,2.0 | 6.0 | 1.0 | 4.0 | 3.0
detailed_listings,host_total_listings_count,float64,0,10369,100.0,0,
detailed_listings,host_verifications,float64,0,10369,100.0,0,
detailed_listings,host_has_profile_pic,str,10227,142,1.37,2,t | f
detailed_listings,host_identity_verified,str,10227,142,1.37,2,t | f
detailed_listings,neighbourhood,float64,0,10369,100.0,0,
detailed_listings,neighbourhood_cleansed,str,10369,0,0.0,22,Centrum-West | Centrum-Oost | Buitenveldert - Zuidas | IJburg - Zeeburgereiland | Zuid
detailed_listings,neighbourhood_group_cleansed,float64,0,10369,100.0,0,
detailed_listings,latitude,float64,10369,0,0.0,7560,52.36775 | 52.36584 | 52.38211 | 52.37168 | 52.32780775677816
detailed_listings,longitude,float64,10369,0,0.0,8565,4.89092 | 4.89111 | 4.8863 | 4.91471 | 4.87680005722526
detailed_listings,property_type,str,10369,0,0.0,59,Private room in rental unit | Private room in condo | Entire rental unit | Entire guest suite | Entire condo
detailed_listings,room_type,str,10369,0,0.0,4,Private room | Entire home/apt | Hotel room | Shared room
detailed_listings,accommodates,int64,10369,0,0.0,14,2 | 4 | 3 | 1 | 8
detailed_listings,bathrooms,float64,5413,4956,47.8,13,1.0 | 1.5 | 2.0 | 2.5 | 3.0
detailed_listings,bathrooms_text,str,10360,9,0.09,22,1 shared bath | 1.5 baths | 1 bath | 1 private bath | 2 baths
detailed_listings,bedrooms,float64,9219,1150,11.09,11,1.0 | 2.0 | 3.0 | 4.0 | 10.0
detailed_listings,beds,float64,5717,4652,44.86,22,2.0 | 4.0 | 1.0 | 3.0 | 5.0
