dataset_name,column_name,data_type,missing_count,missing_percentage,unique_count,sample_values
detailed_listings,id,int64,0,0.0,10369,28871 | 29051 | 44129
detailed_listings,listing_url,str,0,0.0,10369,https://www.airbnb.com/rooms/28871 | https://www.airbnb.com/rooms/29051 | https://www.airbnb.com/rooms/44129
detailed_listings,scrape_id,int64,0,0.0,1,20260615212022 | 20260615212022 | 20260615212022
detailed_listings,last_scraped,str,0,0.0,3,2026-06-16 | 2026-06-16 | 2026-06-24
detailed_listings,source,str,0,0.0,2,previous scrape | previous scrape | previous scrape
detailed_listings,name,str,0,0.0,10076,Comfortable double room | Comfortable single / double room | Luxury design with canal view
detailed_listings,description,str,450,4.34,9640,"Basic bedroom in the center of Amsterdam. | This room can also be rented as a single or a small double<br /><br />Also a cat lives here | Welcome to my little gem<br /><br />Cozy, bright and romantic one bedroom apartment on the first floor of a three story house in the center, right on one of the most beautiful canals in Amsterdam."
detailed_listings,neighborhood_overview,float64,10369,100.0,0,
detailed_listings,picture_url,str,0,0.0,10315,https://a0.muscache.com/pictures/160889/362340f7_original.jpg | https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg | https://a0.muscache.com/pictures/hosting/Hosting-44129/original/956f8b2f-8203-4d88-b179-3d9ad860dfd1.jpeg
detailed_listings,host_id,int64,0,0.0,9104,124245 | 124245 | 187728
detailed_listings,host_url,str,0,0.0,9104,https://www.airbnb.com/users/show/124245 | https://www.airbnb.com/users/show/124245 | https://www.airbnb.com/users/show/187728
detailed_listings,host_profile_id,float64,142,1.37,9067,1.462510208428039e+18 | 1.462510208428039e+18 | 1.4625121252931446e+18
detailed_listings,host_profile_url,str,137,1.32,9076,https://www.airbnb.com/users/profile/1462510208428038971 | https://www.airbnb.com/users/profile/1462510208428038971 | https://www.airbnb.com/users/profile/1462512125293144456
detailed_listings,host_name,str,142,1.37,3793,Edwin | Edwin | Tanya
detailed_listings,host_since,float64,10369,100.0,0,
detailed_listings,hosts_time_as_user_years,float64,142,1.37,18,16.0 | 16.0 | 15.0
detailed_listings,hosts_time_as_user_months,float64,142,1.37,12,1.0 | 1.0 | 10.0
detailed_listings,hosts_time_as_host_years,float64,142,1.37,16,15.0 | 15.0 | 15.0
detailed_listings,hosts_time_as_host_months,float64,142,1.37,12,5.0 | 5.0 | 5.0
detailed_listings,host_location,str,1372,13.23,222,"Amsterdam, The Netherlands | Amsterdam, The Netherlands | Amsterdam, The Netherlands"
detailed_listings,host_about,str,4959,47.83,4567,"Hi | Hi | I am little bit of a nomad. Born in Belarus, raised in Canada, converted to Europe in London and finally settled in magical Amsterdam. Recently opened a little bar in the Jordaan and said goodbye to my job in finance to enjoy creating things a little more.

I like to enjoy life and constantly find myself admiring buildings & decor and doing some tasteful travelling. I travel frequently for business and pleasure so either my flat is available or I am looking for somewhere to stay myself"
detailed_listings,host_response_time,float64,10369,100.0,0,
detailed_listings,host_response_rate,float64,10369,100.0,0,
detailed_listings,host_acceptance_rate,float64,10369,100.0,0,
detailed_listings,host_is_superhost,str,142,1.37,2,t | t | t
detailed_listings,host_thumbnail_url,float64,10369,100.0,0,
detailed_listings,host_picture_url,str,142,1.37,9005,https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/187728/profile_pic/1441737374/original.jpg?aki_policy=profile_x_medium
detailed_listings,host_neighbourhood,float64,10369,100.0,0,
detailed_listings,host_listings_count,float64,142,1.37,39,2.0 | 2.0 | 6.0
detailed_listings,host_total_listings_count,float64,10369,100.0,0,
detailed_listings,host_verifications,float64,10369,100.0,0,
detailed_listings,host_has_profile_pic,str,142,1.37,2,t | t | t
detailed_listings,host_identity_verified,str,142,1.37,2,t | t | t
detailed_listings,neighbourhood,float64,10369,100.0,0,
detailed_listings,neighbourhood_cleansed,str,0,0.0,22,Centrum-West | Centrum-Oost | Centrum-West
detailed_listings,neighbourhood_group_cleansed,float64,10369,100.0,0,
detailed_listings,latitude,float64,0,0.0,7560,52.36775 | 52.36584 | 52.38211
detailed_listings,longitude,float64,0,0.0,8565,4.89092 | 4.89111 | 4.8863
detailed_listings,property_type,str,0,0.0,59,Private room in rental unit | Private room in condo | Entire rental unit
detailed_listings,room_type,str,0,0.0,4,Private room | Private room | Entire home/apt
detailed_listings,accommodates,int64,0,0.0,14,2 | 2 | 2
detailed_listings,bathrooms,float64,4956,47.8,13,1.0 | 1.5 | 1.0
detailed_listings,bathrooms_text,str,9,0.09,22,1 shared bath | 1 shared bath | 1.5 baths
detailed_listings,bedrooms,float64,1150,11.09,11,1.0 | 2.0 | 2.0
detailed_listings,beds,float64,4652,44.86,22,2.0 | 4.0 | 1.0
